kanji,kun,on,meaning,strokes,type,learnt
1,hito,ichi,one,1,noun,1
2,nana,shichi,seven,2,noun,1
3,yorozu,man,ten thousand,3,noun,0
4,mi,san,three,3,noun,1
5,ue,jou,above,3,adj,1
6,shita,ka,below,3,adj,0
7,naka,chuu,middle,4,adj,1
8,kokono,kyuu,nine,2,noun,1
9,futa,ni,two,2,noun,1
10,itsu,go,five,4,noun,0
11,hito,jin,person,2,noun,1
12,ima,kon,now,4,adj,1
13,yasu,kyuu,rest,6,verb,0
14,au,kai,meet,6,verb,1
15,nani,ka,what,7,noun,0
16,saki,sen,before,6,adj,0
17,i,nyuu,enter,2,verb,1
18,ya,hachi,eight,2,noun,1
19,mu,roku,six,4,noun,0
20,maru,en,yen,4,noun,1
21,de,shutsu,exit,5,verb,0
22,wa,bun,minute,4,noun,0
23,mae,zen,front,9,adj,1
24,kita,hoku,north,5,adj,1
25,too,juu,ten,2,noun,1
26,chi,sen,thousand,3,noun,1
27,uma,go,noon,4,noun,0
28,naka,han,half,5,adj,0
29,minami,nan,south,9,adj,0
30,tomo,yuu,friend,4,noun,0
31,kuchi,kou,mouth,3,noun,1
32,furu,ko,old,5,adj,0
33,migi,u,right,5,adj,0
34,na,mei,name,6,noun,0
35,nishi,sei,west,6,adj,0
36,kuni,koku,country,8,noun,0
37,tsuchi,do,soil,3,noun,0
38,soto,gai,outside,5,adj,1
39,oo,ta,many,6,adj,0
40,oo,dai,large,3,adj,0
41,amatsu,ten,heavens,4,noun,0
42,onna,jo,woman,3,noun,0
43,ko,shi,child,3,noun,1
44,mana,gaku,study,8,noun,0
45,yasu,an,relax,6,adj,1
46,chi,shou,small,3,adj,1
47,suku,shou,little,4,adj,0
48,yama,san,mountain,3,noun,1
49,kawa,sen,river,3,noun,0
50,hidari,san,left,5,adj,0
51,toshi,nen,year,6,noun,1
52,mise,ten,store,8,noun,0
53,nochi,go,behind,9,adj,0
54,te,shu,hand,4,noun,0
55,atara,shin,new,13,adj,0
56,hi,nichi,day,4,noun,0
57,toki,jin,time,10,noun,0
58,ka,sho,write,10,verb,0
59,tsuki,getsu,moon,4,noun,1
60,ki,boku,tree,4,noun,1
61,moto,hon,book,5,noun,0
62,ku,rai,come,7,verb,0
63,higashi,tou,east,8,adj,0
64,,kou,exam,10,noun,0
65,haha,bo,mother,5,noun,0
66,goto,mai,every,6,noun,0
67,iki,ki,spirit,6,noun,0
68,mizu,sui,water,4,noun,1
69,hi,ka,fire,4,noun,1
70,chichi,fu,father,4,noun,1
71,i,sei,life,5,noun,1
72,otoko,dan,male,7,noun,0
73,shiro,haku,white,5,adj,0
74,momo,hyaku,hundred,6,noun,0
75,me,moku,eye,5,noun,0
76,yashiro,sha,company,7,noun,0
77,sora,kuu,sky,8,noun,0
78,ta,ritsu,rise,5,verb,0
79,mimi,ji,ear,6,noun,0
80,ki,bun,hear,14,verb,0
81,hana,ka,flower,7,noun,0
82,i,kou,going,6,verb,1
83,nishi,sei,west,6,adj,0
84,mi,ken,see,7,verb,1
85,koto,gen,word,7,noun,0
86,hana,wa,talk,13,verb,0
87,kata,go,language,14,noun,0
88,yo,doku,read,14,verb,0
89,ka,bai,buy,12,verb,0
90,ashi,soku,leg,7,noun,1
91,kuruma,sha,car,7,noun,1
92,,shuu,week,11,noun,0
93,michi,dou,street,12,noun,1
94,kane,kin,gold,8,noun,1
95,naga,chou,long,8,adj,1
96,aida,kan,interval,12,noun,0
97,ame,u,rain,8,noun,0
98,,den,electricity,13,noun,0
99,ta,shoku,eat,9,verb,0
100,no,in,drink,12,verb,0
101,,eki,station,14,noun,0
102,taka,kou,tall,10,adj,0
103,sakana,gyo,fish,11,noun,0
